001  00001 |Loss: 2.567 | Acc: 11.719% 
001  00002 |Loss: 2.507 | Acc: 11.328% 
001  00003 |Loss: 2.809 | Acc: 11.979% 
001  00004 |Loss: 2.924 | Acc: 11.719% 
001  00005 |Loss: 3.147 | Acc: 11.250% 
001  00006 |Loss: 3.082 | Acc: 10.807% 
001  00007 |Loss: 3.025 | Acc: 10.268% 
001  00008 |Loss: 2.953 | Acc: 10.449% 
001  00009 |Loss: 2.960 | Acc: 9.896% 
001  00010 |Loss: 2.896 | Acc: 10.234% 
001  00011 |Loss: 2.839 | Acc: 10.156% 
001  00012 |Loss: 2.788 | Acc: 11.068% 
001  00013 |Loss: 2.754 | Acc: 11.899% 
001  00014 |Loss: 2.721 | Acc: 11.998% 
001  00015 |Loss: 2.697 | Acc: 11.979% 
001  00016 |Loss: 2.682 | Acc: 12.158% 
001  00017 |Loss: 2.657 | Acc: 11.994% 
001  00018 |Loss: 2.633 | Acc: 12.326% 
001  00019 |Loss: 2.607 | Acc: 12.911% 
001  00020 |Loss: 2.584 | Acc: 13.242% 
001  00021 |Loss: 2.563 | Acc: 13.467% 
001  00022 |Loss: 2.546 | Acc: 13.459% 
001  00023 |Loss: 2.525 | Acc: 13.587% 
001  00024 |Loss: 2.509 | Acc: 13.607% 
001  00025 |Loss: 2.495 | Acc: 13.656% 
001  00026 |Loss: 2.480 | Acc: 13.792% 
001  00027 |Loss: 2.464 | Acc: 14.005% 
001  00028 |Loss: 2.450 | Acc: 14.118% 
001  00029 |Loss: 2.438 | Acc: 14.359% 
001  00030 |Loss: 2.425 | Acc: 14.349% 
001  00031 |Loss: 2.414 | Acc: 14.617% 
001  00032 |Loss: 2.400 | Acc: 14.746% 
001  00033 |Loss: 2.392 | Acc: 14.938% 
001  00034 |Loss: 2.382 | Acc: 15.188% 
001  00035 |Loss: 2.373 | Acc: 15.335% 
001  00036 |Loss: 2.363 | Acc: 15.625% 
001  00037 |Loss: 2.355 | Acc: 15.709% 
001  00038 |Loss: 2.344 | Acc: 15.933% 
001  00039 |Loss: 2.337 | Acc: 15.966% 
001  00040 |Loss: 2.333 | Acc: 15.996% 
001  00041 |Loss: 2.324 | Acc: 16.139% 
001  00042 |Loss: 2.318 | Acc: 16.276% 
001  00043 |Loss: 2.312 | Acc: 16.334% 
001  00044 |Loss: 2.308 | Acc: 16.406% 
001  00045 |Loss: 2.301 | Acc: 16.406% 
001  00046 |Loss: 2.293 | Acc: 16.593% 
001  00047 |Loss: 2.287 | Acc: 16.689% 
001  00048 |Loss: 2.281 | Acc: 16.683% 
001  00049 |Loss: 2.275 | Acc: 16.757% 
001  00050 |Loss: 2.272 | Acc: 16.906% 
001  00051 |Loss: 2.269 | Acc: 17.050% 
001  00052 |Loss: 2.262 | Acc: 17.293% 
001  00053 |Loss: 2.260 | Acc: 17.423% 
001  00054 |Loss: 2.256 | Acc: 17.491% 
001  00055 |Loss: 2.250 | Acc: 17.628% 
001  00056 |Loss: 2.245 | Acc: 17.801% 
001  00057 |Loss: 2.242 | Acc: 17.873% 
001  00058 |Loss: 2.239 | Acc: 18.009% 
001  00059 |Loss: 2.235 | Acc: 18.061% 
001  00060 |Loss: 2.232 | Acc: 18.112% 
001  00061 |Loss: 2.228 | Acc: 18.315% 
001  00062 |Loss: 2.224 | Acc: 18.410% 
001  00063 |Loss: 2.221 | Acc: 18.440% 
001  00064 |Loss: 2.218 | Acc: 18.457% 
001  00065 |Loss: 2.214 | Acc: 18.570% 
001  00066 |Loss: 2.211 | Acc: 18.596% 
001  00067 |Loss: 2.207 | Acc: 18.703% 
001  00068 |Loss: 2.204 | Acc: 18.830% 
001  00069 |Loss: 2.200 | Acc: 19.022% 
001  00070 |Loss: 2.195 | Acc: 19.141% 
001  00071 |Loss: 2.191 | Acc: 19.278% 
001  00072 |Loss: 2.189 | Acc: 19.379% 
001  00073 |Loss: 2.187 | Acc: 19.349% 
001  00074 |Loss: 2.183 | Acc: 19.489% 
001  00075 |Loss: 2.180 | Acc: 19.604% 
001  00076 |Loss: 2.176 | Acc: 19.747% 
001  00077 |Loss: 2.174 | Acc: 19.907% 
